fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,timestamp
18,46,99,38,41,0,8,31,98,130.0,1572.0,1579.0,282.0,723.0,5112.0,210.0,161.0,719.0,2974.0,6885
8,2,7,70,1,0,1,176,86,11.0,475.0,474.0,133.0,366.0,380.0,233.0,86.0,335.0,480.0,6929
0,2,12,70,1,0,2,159,86,7.0,626.0,624.0,125.0,384.0,934.0,220.0,73.0,346.0,822.0,6971
0,2,7,73,1,0,1,144,86,0.0,394.0,393.0,83.0,301.0,245.0,196.0,70.0,269.0,392.0,7015
28,34,83,61,125,1,3,130,72,196.0,961.0,958.0,353.0,669.0,2084.0,371.0,248.0,656.0,1384.0,7057
0,25,7,70,1,0,1,144,54,30.0,592.0,591.0,157.0,397.0,353.0,277.0,74.0,347.0,588.0,7098
0,3,8,58,1,0,2,144,86,7.0,579.0,577.0,100.0,342.0,903.0,193.0,60.0,307.0,776.0,7139
26,38,30,79,119,1,4,176,3,709.0,12657.0,12653.0,4826.0,6618.0,9139.0,5226.0,772.0,5577.0,13220.0,7180
1,0,7,70,1,0,1,169,86,1.0,451.0,450.0,105.0,329.0,286.0,219.0,70.0,293.0,449.0,7216
0,2,7,49,22,0,1,144,86,21.0,391.0,390.0,80.0,274.0,242.0,193.0,67.0,242.0,389.0,7255
0,2,7,70,1,0,8,42,86,30.0,1551.0,1543.0,211.0,670.0,4818.0,177.0,90.0,639.0,2943.0,7297
15,0,27,82,0,0,8,81,7,143.0,3817.0,3809.0,1131.0,1894.0,6261.0,1144.0,231.0,1678.0,5212.0,7354
0,2,7,60,1,0,1,144,86,0.0,381.0,380.0,70.0,275.0,232.0,183.0,57.0,243.0,379.0,7401
0,2,17,70,10,0,1,144,86,9.0,400.0,399.0,89.0,304.0,251.0,202.0,76.0,272.0,398.0,7444
29,25,78,80,17,2,5,54,56,84.0,1102.0,1097.0,265.0,658.0,3242.0,236.0,163.0,656.0,1925.0,7485
0,2,8,67,1,0,1,144,89,2.0,377.0,376.0,72.0,284.0,231.0,186.0,62.0,253.0,374.0,7523
1,2,7,70,1,0,1,161,81,2.0,455.0,454.0,107.0,331.0,288.0,221.0,70.0,295.0,453.0,7560
19,9,45,75,37,1,7,98,29,113.0,1995.0,1988.0,503.0,1019.0,4741.0,470.0,191.0,957.0,3204.0,7605
0,2,7,67,1,0,1,5,86,15.0,62.0,61.0,49.0,123.0,56.0,53.0,49.0,120.0,61.0,7640
0,2,4,70,1,0,1,133,86,2.0,366.0,365.0,70.0,282.0,227.0,182.0,65.0,252.0,363.0,7685
41,26,70,64,90,1,1,196,29,199.0,1542.0,1541.0,683.0,1060.0,1398.0,750.0,277.0,978.0,1575.0,7720
15,2,7,65,1,0,1,144,95,13.0,370.0,369.0,108.0,329.0,398.0,190.0,90.0,315.0,382.0,7756
0,2,21,70,1,0,1,166,86,1.0,443.0,442.0,100.0,322.0,270.0,215.0,68.0,285.0,440.0,7802
0,2,7,70,197,0,1,144,86,196.0,587.0,586.0,276.0,491.0,438.0,389.0,263.0,459.0,585.0,7837
0,5,86,90,0,0,5,109,1,990.0,22889.0,22884.0,8597.0,11672.0,15092.0,9382.0,1070.0,9696.0,23575.0,7898
2,2,7,70,25,0,1,90,77,21.0,315.0,314.0,70.0,276.0,232.0,177.0,90.0,255.0,315.0,7934
4,2,19,70,1,0,1,144,86,4.0,395.0,394.0,92.0,311.0,290.0,197.0,75.0,283.0,397.0,7973
2,13,68,21,157,1,10,110,51,226.0,2417.0,2426.0,528.0,1061.0,6568.0,462.0,245.0,1004.0,4198.0,8010
0,2,7,70,19,0,1,122,86,15.0,357.0,356.0,78.0,287.0,231.0,189.0,82.0,259.0,355.0,8055
33,19,54,64,84,1,5,111,67,155.0,1298.0,1293.0,382.0,781.0,3411.0,350.0,228.0,770.0,2124.0,8095
50,2,7,70,1,0,1,186,86,53.0,540.0,539.0,268.0,546.0,896.0,285.0,170.0,555.0,587.0,8129
4,2,16,70,17,0,2,144,86,26.0,611.0,609.0,140.0,398.0,979.0,225.0,96.0,367.0,812.0,8164
0,2,15,84,27,0,1,138,93,23.0,392.0,391.0,104.0,330.0,260.0,217.0,104.0,301.0,390.0,8198
49,15,55,31,14,2,3,65,83,78.0,634.0,631.0,195.0,477.0,2082.0,165.0,140.0,504.0,1079.0,8239
2,5,7,70,5,0,1,144,85,9.0,401.0,400.0,91.0,309.0,272.0,201.0,75.0,279.0,401.0,8288
0,29,7,70,1,0,9,144,86,75.0,1991.0,1982.0,336.0,863.0,5626.0,289.0,107.0,807.0,3581.0,8336
50,33,100,94,0,2,2,200,100,87.0,729.0,727.0,309.0,646.0,1584.0,305.0,196.0,655.0,975.0,8394
0,11,13,76,3,0,2,144,86,17.0,599.0,597.0,120.0,380.0,923.0,213.0,80.0,345.0,796.0,8440
0,2,7,69,1,0,1,144,95,2.0,359.0,358.0,67.0,277.0,222.0,179.0,64.0,248.0,356.0,8483
42,41,98,33,145,2,4,8,12,232.0,954.0,957.0,344.0,656.0,2835.0,306.0,279.0,678.0,1588.0,8516
0,2,7,70,28,0,1,144,97,24.0,379.0,378.0,91.0,303.0,247.0,204.0,91.0,274.0,377.0,8552
